District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,22,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.011655999660916374
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,11,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.01966498024563348
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,53,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.021351080243805165
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,53,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.024266177069836223
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,62,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.02213503082838568
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,17,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03226724874252634
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,7,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.008400336013440538
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,71,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01923524981442048
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,18,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.05129374216345606
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,60,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.020695435621673638
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,12,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.01974951037672191
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,51,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.02032666140564842
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,79,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.026720603953296444
PERTH DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,29,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.020851758378452226
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,56,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.10159835991218998
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,19,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.010066545161700503
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-11-01,2007,November,15,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.026815882153136565
