District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,7,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002819953994464833
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,4,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0018314095901763188
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,3,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0010710498787928555
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,9,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0024382711032363987
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,6,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.002069543562167364
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000689847854055788
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,5,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.008228962656967462
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,3,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.004937377594180477
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,7,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.002789933918422332
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0007971239766920949
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,3,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0010147064792391054
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0003382354930797018
PERTH DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
PERTH DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PILBARA DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
