District,Crime,Region,State,Population,Count,Count_Per_100
MANDURAH DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,6399,2.2071682090514937
GREAT SOUTHERN DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1838,2.205688227529101
SOUTH WEST DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,4114,2.1796719365913617
WHEATBELT DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1209,2.161360101542807
PILBARA DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1188,2.15533663528003
JOONDALUP DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,7862,2.1299652681827297
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,5256,2.1173825992724518
MIDLAND DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,5299,2.1119799762457054
SOUTH WEST DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,3866,2.0482770313228498
CANNINGTON DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,4435,2.0305753831079936
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1668,2.001680067202688
GREAT SOUTHERN DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1653,1.9836793471738872
CANNINGTON DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,4330,1.982500881365865
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,4933,1.966106288511052
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,4872,1.9417940072219433
GOLDFIELDS-ESPERANCE DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,1007,1.9113599696308248
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,5335,1.9046837011199613
